separator,schema,table_name,column_count,total_size,table_size,index_count,table_comment
--- TABLE ---,public,activity_logs,7,504 kB,288 kB,3,
--- TABLE ---,public,ai_requests,13,128 kB,8192 bytes,7,Tracks AI API requests for analytics and billing
--- TABLE ---,public,ai_settings,8,104 kB,8192 bytes,6,AI provider settings for users
--- TABLE ---,public,audit_logs,8,224 kB,104 kB,2,Application audit log for key security-sensitive actions.
--- TABLE ---,public,auto_reply_settings,22,40 kB,0 bytes,4,
--- TABLE ---,public,business_profile_history,8,1056 kB,344 kB,4,
--- TABLE ---,public,error_logs,24,88 kB,0 bytes,9,Centralized error logging for client and server-side errors
--- TABLE ---,public,gmb_accounts,18,312 kB,32 kB,13,
--- TABLE ---,public,gmb_locations,46,2928 kB,592 kB,38,Real-time enabled: Updates broadcast to subscribed clients
--- TABLE ---,public,gmb_media,13,4008 kB,1664 kB,15,Stores media items (photos/videos) from Google My Business locations
--- TABLE ---,public,gmb_metrics,10,96 kB,16 kB,3,
--- TABLE ---,public,gmb_performance_metrics,12,864 kB,192 kB,14,Stores daily performance metrics from Business Profile Performance API
--- TABLE ---,public,gmb_posts,24,120 kB,0 bytes,14,Stores GMB posts for composing and scheduling Business Profile posts
--- TABLE ---,public,gmb_questions,37,552 kB,48 kB,28,Real-time enabled: Changes broadcast to subscribed clients
--- TABLE ---,public,gmb_reviews,51,5784 kB,2312 kB,37,Stores Google My Business reviews with AI analysis and reply management
--- TABLE ---,public,gmb_search_keywords,12,6288 kB,1648 kB,13,Stores search keyword impressions from Business Profile Performance API
--- TABLE ---,public,gmb_sync_logs,12,624 kB,392 kB,3,
--- TABLE ---,public,notifications,18,64 kB,0 bytes,7,
--- TABLE ---,public,oauth_states,6,160 kB,24 kB,6,Stores temporary OAuth state parameters for secure OAuth flow
--- TABLE ---,public,performance_metrics,7,40 kB,0 bytes,4,
--- TABLE ---,public,profiles,10,168 kB,32 kB,6,
--- TABLE ---,public,rate_limit_requests,7,48 kB,0 bytes,5,
--- TABLE ---,public,sync_status,8,112 kB,16 kB,4,"Tracks GMB sync runs (status, progress, timings) for each user/account"
--- TABLE ---,public,weekly_task_recommendations,17,112 kB,8192 bytes,6,
separator,table_name,ordinal_position,column_name,data_type,full_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale,datetime_precision,underlying_type,column_comment
--- COLUMN ---,ai_settings,5,is_active,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,ai_settings,6,priority,integer,"integer(32,0)",YES,999,,32,0,,int4,Lower number = higher priority when multiple providers are active
--- COLUMN ---,ai_settings,7,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,ai_settings,8,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,audit_logs,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,audit_logs,2,user_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,audit_logs,3,action,character varying,character varying(100),NO,,100,,,,varchar,
--- COLUMN ---,audit_logs,4,resource_type,character varying,character varying(50),YES,,50,,,,varchar,
--- COLUMN ---,audit_logs,5,resource_id,character varying,character varying(255),YES,,255,,,,varchar,
--- COLUMN ---,audit_logs,6,metadata,jsonb,jsonb,YES,,,,,,jsonb,
--- COLUMN ---,audit_logs,7,ip_address,text,text,YES,,,,,,text,
--- COLUMN ---,audit_logs,8,created_at,timestamp with time zone,timestamp with time zone,NO,now(),,,,6,timestamptz,
--- COLUMN ---,auto_reply_settings,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,auto_reply_settings,2,user_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,auto_reply_settings,3,location_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,auto_reply_settings,4,enabled,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,auto_reply_settings,5,min_rating,integer,"integer(32,0)",YES,1,,32,0,,int4,
--- COLUMN ---,auto_reply_settings,6,max_rating,integer,"integer(32,0)",YES,5,,32,0,,int4,
--- COLUMN ---,auto_reply_settings,7,reply_template,text,text,YES,,,,,,text,
--- COLUMN ---,auto_reply_settings,8,use_ai,boolean,boolean,YES,true,,,,,bool,
--- COLUMN ---,auto_reply_settings,9,ai_tone,text,text,YES,'professional'::text,,,,,text,
--- COLUMN ---,auto_reply_settings,10,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,auto_reply_settings,11,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,auto_reply_settings,12,require_approval,boolean,boolean,YES,false,,,,,bool,Require manual approval before sending (default: false for instant replies)
--- COLUMN ---,auto_reply_settings,13,auto_reply_1_star,boolean,boolean,YES,true,,,,,bool,Auto-reply to 1-star reviews
--- COLUMN ---,auto_reply_settings,14,auto_reply_2_star,boolean,boolean,YES,true,,,,,bool,Auto-reply to 2-star reviews
--- COLUMN ---,auto_reply_settings,15,auto_reply_3_star,boolean,boolean,YES,true,,,,,bool,Auto-reply to 3-star reviews
--- COLUMN ---,auto_reply_settings,16,auto_reply_4_star,boolean,boolean,YES,true,,,,,bool,Auto-reply to 4-star reviews
--- COLUMN ---,auto_reply_settings,17,auto_reply_5_star,boolean,boolean,YES,true,,,,,bool,Auto-reply to 5-star reviews
--- COLUMN ---,auto_reply_settings,18,response_style,text,text,YES,'friendly'::text,,,,,text,
--- COLUMN ---,auto_reply_settings,19,response_delay_minutes,integer,"integer(32,0)",YES,0,,32,0,,int4,
--- COLUMN ---,auto_reply_settings,20,reply_to_positive,boolean,boolean,YES,true,,,,,bool,
--- COLUMN ---,auto_reply_settings,21,reply_to_neutral,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,auto_reply_settings,22,reply_to_negative,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,business_profile_history,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,business_profile_history,2,location_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,business_profile_history,3,location_name,text,text,NO,,,,,,text,
--- COLUMN ---,business_profile_history,4,operation_type,text,text,NO,,,,,,text,
--- COLUMN ---,business_profile_history,5,data,jsonb,jsonb,NO,,,,,,jsonb,
--- COLUMN ---,business_profile_history,6,metadata,jsonb,jsonb,YES,,,,,,jsonb,
--- COLUMN ---,business_profile_history,7,created_by,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,business_profile_history,8,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,error_logs,1,id,text,text,NO,(gen_random_uuid())::text,,,,,text,
--- COLUMN ---,error_logs,2,message,text,text,NO,,,,,,text,
--- COLUMN ---,error_logs,3,stack,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,4,level,text,text,YES,'error'::text,,,,,text,
--- COLUMN ---,error_logs,5,timestamp,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,error_logs,6,user_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,error_logs,7,context,jsonb,jsonb,YES,,,,,,jsonb,
--- COLUMN ---,error_logs,8,user_agent,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,9,url,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,10,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,error_logs,11,session_id,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,12,ip_address,inet,inet,YES,,,,,,inet,
--- COLUMN ---,error_logs,13,browser_name,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,14,browser_version,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,15,os_name,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,16,os_version,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,17,device_type,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,18,error_type,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,19,error_code,text,text,YES,,,,,,text,
--- COLUMN ---,error_logs,20,severity,integer,"integer(32,0)",YES,3,,32,0,,int4,
--- COLUMN ---,error_logs,21,resolved,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,error_logs,22,resolved_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,error_logs,23,resolved_by,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,error_logs,24,resolution_notes,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_accounts,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,gmb_accounts,2,user_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,gmb_accounts,3,account_name,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_accounts,4,email,text,text,YES,,,,,,text,Email address of the Google account
--- COLUMN ---,gmb_accounts,5,google_account_id,text,text,YES,,,,,,text,Google user ID from OAuth
--- COLUMN ---,gmb_accounts,6,access_token,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_accounts,7,refresh_token,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_accounts,8,token_expires_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_accounts,10,last_sync,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_accounts,11,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_accounts,13,is_active,boolean,boolean,YES,true,,,,,bool,
--- COLUMN ---,gmb_accounts,14,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_accounts,15,account_id,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_accounts,16,settings,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,
--- COLUMN ---,gmb_accounts,17,disconnected_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,Timestamp when account was disconnected
--- COLUMN ---,gmb_accounts,18,data_retention_days,integer,"integer(32,0)",YES,30,,32,0,,int4,Number of days to retain archived data before permanent deletion
--- COLUMN ---,gmb_accounts,19,delete_on_disconnect,boolean,boolean,YES,false,,,,,bool,"If true, delete all data immediately on disconnect"
--- COLUMN ---,gmb_accounts,20,notification_settings,jsonb,jsonb,YES,,,,,,jsonb,"Google Business Profile notification settings (pubsubTopic, notificationTypes)"
--- COLUMN ---,gmb_locations,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,gmb_locations,2,gmb_account_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_locations,3,location_name,text,text,NO,,,,,,text,
--- COLUMN ---,gmb_locations,4,location_id,text,text,NO,,,,,,text,
--- COLUMN ---,gmb_locations,5,address,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations,6,phone,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations,7,category,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations,8,website,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations,9,is_active,boolean,boolean,YES,true,,,,,bool,
--- COLUMN ---,gmb_locations,10,metadata,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,
--- COLUMN ---,gmb_locations,11,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_locations,12,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_locations,13,business_hours,jsonb,jsonb,YES,"'{""friday"": {""open"": ""09:00"", ""close"": ""17:00"", ""closed"": false}, ""monday"": {""open"": ""09:00"", ""close"": ""17:00"", ""closed"": false}, ""sunday"": {""open"": ""00:00"", ""close"": ""00:00"", ""closed"": true}, ""tuesday"": {""open"": ""09:00"", ""close"": ""17:00"", ""closed"": false}, ""saturday"": {""open"": ""10:00"", ""close"": ""16:00"", ""closed"": false}, ""thursday"": {""open"": ""09:00"", ""close"": ""17:00"", ""closed"": false}, ""wednesday"": {""open"": ""09:00"", ""close"": ""17:00"", ""closed"": false}}'::jsonb",,,,,jsonb,Business hours in JSONB format
--- COLUMN ---,gmb_locations,14,user_id,uuid,uuid,YES,,,,,,uuid,Foreign key to auth.users table - owner of this location
--- COLUMN ---,gmb_locations,15,rating,numeric,"numeric(2,1)",YES,,,2,1,,numeric,Average rating for the location (0.0 to 5.0)
--- COLUMN ---,gmb_locations,16,normalized_location_id,text,text,YES,,,,,,text,Normalized location ID extracted from full resource name. Used to prevent duplicates.
--- COLUMN ---,gmb_locations,17,latitude,double precision,,YES,,,53,,,float8,Latitude coordinate of the location (from Google API latlng)
--- COLUMN ---,gmb_locations,18,longitude,double precision,,YES,,,53,,,float8,Longitude coordinate of the location (from Google API latlng)
--- COLUMN ---,gmb_locations,19,type,text,text,YES,,,,,,text,Location type
--- COLUMN ---,gmb_locations,20,review_count,integer,"integer(32,0)",YES,0,,32,0,,int4,
--- COLUMN ---,gmb_locations,21,response_rate,numeric,"numeric(5,2)",YES,0,,5,2,,numeric,Response rate percentage (0.0-100.0)
--- COLUMN ---,gmb_locations,22,is_syncing,boolean,boolean,YES,false,,,,,bool,
--- COLUMN ---,gmb_locations,23,ai_insights,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations,24,status,text,text,YES,'pending'::text,,,,,text,"Location status (verified, pending, suspended, etc.)"
--- COLUMN ---,gmb_locations,25,latlng,text,text,YES,,,,,,text,Latitude/longitude as text (alternative format)
--- COLUMN ---,gmb_locations,26,regularhours,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,Regular business hours in JSONB format
--- COLUMN ---,gmb_locations,27,account_id,text,text,YES,,,,,,text,Account identifier (legacy/alternative)
--- COLUMN ---,gmb_locations,28,location_id_external,text,text,YES,,,,,,text,External location identifier
--- COLUMN ---,gmb_locations,29,health_score,integer,"integer(32,0)",YES,0,,32,0,,int4,Health score for the location
--- COLUMN ---,gmb_locations,30,last_synced_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,Last synchronization timestamp
--- COLUMN ---,gmb_locations,31,is_archived,boolean,boolean,YES,false,,,,,bool,Location is archived (disconnected but data retained)
--- COLUMN ---,gmb_locations,32,archived_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_locations,33,cover_photo_url,text,text,YES,,,,,,text,URL to the cover photo for the business profile
--- COLUMN ---,gmb_locations,34,description,text,text,YES,,,,,,text,Business description/profile description from Google My Business
--- COLUMN ---,gmb_locations,35,short_description,text,text,YES,,,,,,text,Short business description
--- COLUMN ---,gmb_locations,36,additional_categories,ARRAY,ARRAY,YES,"COALESCE(ARRAY[]::text[], ARRAY[]::text[])",,,,,_text,Additional business categories (array of category names)
--- COLUMN ---,gmb_locations,37,from_the_business,ARRAY,ARRAY,YES,"COALESCE(ARRAY[]::text[], ARRAY[]::text[])",,,,,_text,Information from the business (array of text)
--- COLUMN ---,gmb_locations,38,opening_date,date,date,YES,,,,,0,date,Date when the business opened
--- COLUMN ---,gmb_locations,39,service_area_enabled,boolean,boolean,YES,false,,,,,bool,Whether service area is enabled for this location
--- COLUMN ---,gmb_locations,40,menu_url,text,text,YES,,,,,,text,URL to the business menu
--- COLUMN ---,gmb_locations,41,booking_url,text,text,YES,,,,,,text,URL for booking/reservations
--- COLUMN ---,gmb_locations,42,order_url,text,text,YES,,,,,,text,URL for online ordering
--- COLUMN ---,gmb_locations,43,appointment_url,text,text,YES,,,,,,text,URL for appointments
--- COLUMN ---,gmb_locations,44,profile_completeness,integer,"integer(32,0)",YES,0,,32,0,,int4,Profile completeness score (0-100)
--- COLUMN ---,gmb_locations,45,calculated_response_rate,numeric,"numeric(5,2)",YES,,,5,2,,numeric,
--- COLUMN ---,gmb_locations,46,logo_url,text,text,YES,,,,,,text,Direct URL to location logo from GMB (mediaFormat: LOGO)
--- COLUMN ---,gmb_locations_with_rating,1,id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,gmb_locations_with_rating,2,gmb_account_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,gmb_locations_with_rating,3,user_id,uuid,uuid,YES,,,,,,uuid,
--- COLUMN ---,gmb_locations_with_rating,4,location_id,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,5,location_name,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,6,address,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,7,phone,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,8,website,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,9,category,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,10,is_active,boolean,boolean,YES,,,,,,bool,
--- COLUMN ---,gmb_locations_with_rating,11,metadata,jsonb,jsonb,YES,,,,,,jsonb,
--- COLUMN ---,gmb_locations_with_rating,12,business_hours,jsonb,jsonb,YES,,,,,,jsonb,
--- COLUMN ---,gmb_locations_with_rating,13,created_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_locations_with_rating,14,updated_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_locations_with_rating,15,stored_rating,numeric,"numeric(2,1)",YES,,,2,1,,numeric,
--- COLUMN ---,gmb_locations_with_rating,16,normalized_location_id,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_locations_with_rating,17,calculated_rating,numeric,"numeric(3,2)",YES,,,3,2,,numeric,
--- COLUMN ---,gmb_locations_with_rating,18,reviews_count,integer,"integer(32,0)",YES,,,32,0,,int4,
--- COLUMN ---,gmb_locations_with_rating,19,last_review_date,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_media,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,gmb_media,2,gmb_account_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_media,3,location_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_media,4,user_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_media,5,external_media_id,text,text,NO,,,,,,text,Unique identifier from Google My Business API
--- COLUMN ---,gmb_media,6,type,text,text,YES,,,,,,text,"Type of media: PHOTO, VIDEO, etc."
--- COLUMN ---,gmb_media,7,url,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_media,8,thumbnail_url,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_media,9,created_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_media,10,updated_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_media,11,metadata,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,Full media object from Google API for reference
--- COLUMN ---,gmb_media,12,synced_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_media,13,category,text,text,YES,,,,,,text,"Media category from GMB: LOGO, COVER, PROFILE, ADDITIONAL, INTERIOR, EXTERIOR, PRODUCT, FOOD_AND_DRINK, MENU, COMMON_AREA, ROOMS, TEAMS, AT_WORK"
--- COLUMN ---,gmb_metrics,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,gmb_metrics,2,gmb_account_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_metrics,3,user_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_metrics,4,phase,text,text,NO,,,,,,text,
--- COLUMN ---,gmb_metrics,5,runs_count,integer,"integer(32,0)",NO,0,,32,0,,int4,
--- COLUMN ---,gmb_metrics,6,total_duration_ms,bigint,"bigint(64,0)",NO,0,,64,0,,int8,
--- COLUMN ---,gmb_metrics,7,total_items_count,bigint,"bigint(64,0)",NO,0,,64,0,,int8,
--- COLUMN ---,gmb_metrics,8,avg_duration_ms,numeric,numeric,YES,,,,,,numeric,
--- COLUMN ---,gmb_metrics,9,updated_at,timestamp with time zone,timestamp with time zone,NO,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_metrics,10,created_at,timestamp with time zone,timestamp with time zone,NO,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_performance_metrics,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,gmb_performance_metrics,2,gmb_account_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_performance_metrics,3,location_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_performance_metrics,4,user_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_performance_metrics,5,metric_type,text,text,NO,,,,,,text,"Type of metric (e.g., BUSINESS_IMPRESSIONS_DESKTOP_MAPS, CALL_CLICKS, WEBSITE_CLICKS)"
--- COLUMN ---,gmb_performance_metrics,6,metric_date,date,date,NO,,,,,0,date,
--- COLUMN ---,gmb_performance_metrics,7,metric_value,bigint,"bigint(64,0)",NO,0,,64,0,,int8,The actual metric value for the given date
--- COLUMN ---,gmb_performance_metrics,8,sub_entity_type,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,
--- COLUMN ---,gmb_performance_metrics,9,metadata,jsonb,jsonb,YES,'{}'::jsonb,,,,,jsonb,
--- COLUMN ---,gmb_performance_metrics,10,synced_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_performance_metrics,11,created_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_performance_metrics,12,updated_at,timestamp with time zone,timestamp with time zone,YES,now(),,,,6,timestamptz,
--- COLUMN ---,gmb_posts,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,uuid,
--- COLUMN ---,gmb_posts,2,user_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_posts,3,location_id,uuid,uuid,NO,,,,,,uuid,
--- COLUMN ---,gmb_posts,4,title,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_posts,5,content,text,text,NO,,,,,,text,
--- COLUMN ---,gmb_posts,6,media_url,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_posts,7,call_to_action,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_posts,8,call_to_action_url,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_posts,9,status,text,text,NO,'draft'::text,,,,,text,
--- COLUMN ---,gmb_posts,10,scheduled_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_posts,11,published_at,timestamp with time zone,timestamp with time zone,YES,,,,,6,timestamptz,
--- COLUMN ---,gmb_posts,12,provider_post_id,text,text,YES,,,,,,text,
--- COLUMN ---,gmb_posts,13,error_message,text,text,YES,,,,,,text,
